.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,.,.#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,.#,.,.#,#,#,#,.,.,.,.,#,#,#,#,.,.,.#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,,,,
.,.,.,#,#,#,#,#,#,#,#,.,#,#,.,#,#,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,.,.,.
.,.,.,.,#,#,#,#,#,#,#,#,#,#,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,,,
.,.,.,.,.#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,,,,
.,.,.,.,.,#,#,#,.,.,.,.,.,.,.,.#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,.,#,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.#,#,#,#,#,#,#,.,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.#,#,#,#,#,#,.,.,.,.,.#,#,#,#,.,.,.,.,.,.#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.#,#,#,#,.,#,.,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,#,#,#,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,#,#,#,.,.#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,
